Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:59
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:59
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:59
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:31:00
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:31:00
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:31:05
Alarm for nivo_vode	 Type: high	 Priority: 3	 Threshold: 80	 Activated at: 05/02/2022 22:31:23
Alarm for nivo_vode	 Type: high	 Priority: 3	 Threshold: 80	 Activated at: 05/02/2022 22:31:34
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:31:40
Alarm for nivo_vode	 Type: high	 Priority: 3	 Threshold: 80	 Activated at: 05/02/2022 22:31:41
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:31:43
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:31:46
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:31:48
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:31:50
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:31:52
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:31:55
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:32:01
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:32:03
Alarm for nivo_vode	 Type: high	 Priority: 3	 Threshold: 80	 Activated at: 05/02/2022 22:32:25
Alarm for nivo_vode	 Type: high	 Priority: 3	 Threshold: 80	 Activated at: 05/02/2022 22:32:31
